1,Morphology,Volume (mesh-based),morph_volume
2,Morphology,Volume (counting),morph_vol_approx
3,Morphology,Surface area,morph_area_mesh
4,Morphology,Surface to volume ratio,morph_av
5,Morphology,Compactness 1,morph_comp_1
6,Morphology,Compactness 2,morph_comp_2
7,Morphology,Spherical disproportion,morph_sph_dispr
8,Morphology,Sphericity,morph_sphericity
9,Morphology,Asphericity,morph_asphericity
10,Morphology,Centre of mass shift,morph_com
11,Morphology,Maximum 3D diameter,morph_diam
12,Morphology,Major axis length,morph_pca_maj_axis
13,Morphology,Minor axis length,morph_pca_min_axis
14,Morphology,Least axis length,morph_pca_least_axis
15,Morphology,Elongation,morph_pca_elongation
16,Morphology,Flatness,morph_pca_flatness
17,Morphology,Volume density (AABB),morph_vol_dens_aabb
18,Morphology,Area density (AABB),morph_area_dens_aabb
19,Morphology,Volume density (OMBB),morph_vol_dens_ombb
20,Morphology,Area density (OMBB),morph_area_dens_ombb
21,Morphology,Volume density (AEE),morph_vol_dens_aee
22,Morphology,Area density (AEE),morph_area_dens_aee
23,Morphology,Volume density (MVEE),morph_vol_dens_mvee
24,Morphology,Area density (MVEE),morph_area_dens_mvee
25,Morphology,Volume density (convex hull),morph_vol_dens_conv_hull
26,Morphology,Area density (convex hull),morph_area_dens_conv_hull
27,Morphology,Integrated intensity,morph_integ_int
28,Morphology,Moran's I index,morph_moran_i
29,Morphology,Geary's C measure,morph_geary_c
30,Local intensity,Local intensity peak,loc_peak_loc
31,Local intensity,Global intensity peak,loc_peak_glob
32,Statistics,Mean,stat_mean
33,Statistics,Variance,stat_var
34,Statistics,Skewness,stat_skew
35,Statistics,(Excess) kurtosis,stat_kurt
36,Statistics,Median,stat_median
37,Statistics,Minimum,stat_min
38,Statistics,10th percentile,stat_p10
39,Statistics,90th percentile,stat_p90
40,Statistics,Maximum,stat_max
41,Statistics,Interquartile range,stat_iqr
42,Statistics,Range,stat_range
43,Statistics,Mean absolute deviation,stat_mad
44,Statistics,Robust mean absolute deviation,stat_rmad
45,Statistics,Median absolute deviation,stat_medad
46,Statistics,Coefficient of variation,stat_cov
47,Statistics,Quartile coefficient of dispersion,stat_qcod
48,Statistics,Energy,stat_energy
49,Statistics,Root mean square,stat_rms
50,Intensity histogram,Mean,ih_mean
51,Intensity histogram,Variance,ih_var
52,Intensity histogram,Skewness,ih_skew
53,Intensity histogram,Kurtosis,ih_kurt
54,Intensity histogram,Median,ih_median
55,Intensity histogram,Minimum,ih_min
56,Intensity histogram,10th percentile,ih_p10
57,Intensity histogram,90th percentile,ih_p90
58,Intensity histogram,Maximum,ih_max
59,Intensity histogram,Mode,ih_mode
60,Intensity histogram,Interquartile range,ih_iqr
61,Intensity histogram,Range,ih_range
62,Intensity histogram,Mean absolute deviation,ih_mad
63,Intensity histogram,Robust mean absolute deviation,ih_rmad
64,Intensity histogram,Median absolute deviation,ih_medad
65,Intensity histogram,Coefficient of variation,ih_cov
66,Intensity histogram,Quartile coefficient of dispersion,ih_qcod
67,Intensity histogram,Entropy,ih_entropy
68,Intensity histogram,Uniformity,ih_uniformity
69,Intensity histogram,Maximum histogram gradient,ih_max_grad
70,Intensity histogram,Maximum gradient grey level,ih_max_grad_g
71,Intensity histogram,Minimum histogram gradient,ih_min_grad
72,Intensity histogram,Minimum gradient grey level,ih_min_grad_g
73,Intensity volume histogram,Volume fraction at 10% intensity,ivh_v10
74,Intensity volume histogram,Volume fraction at 90% intensity,ivh_v90
75,Intensity volume histogram,Intensity at 10% volume,ivh_i10
76,Intensity volume histogram,Intensity at 90% volume,ivh_i90
77,Intensity volume histogram,Volume fraction difference between 10% and 90% intensity,ivh_diff_v10_v90
78,Intensity volume histogram,Intensity difference between 10% and 90% volume,ivh_diff_i10_i90
79,Intensity volume histogram,Area under the IVH curve,ivh_auc
80,"Co-occurrence matrix (3D, averaged)",Joint maximum,cm_joint_max_3D_avg
81,"Co-occurrence matrix (3D, averaged)",Joint average,cm_joint_avg_3D_avg
82,"Co-occurrence matrix (3D, averaged)",Joint variance,cm_joint_var_3D_avg
83,"Co-occurrence matrix (3D, averaged)",Joint entropy,cm_joint_entr_3D_avg
84,"Co-occurrence matrix (3D, averaged)",Difference average,cm_diff_avg_3D_avg
85,"Co-occurrence matrix (3D, averaged)",Difference variance,cm_diff_var_3D_avg
86,"Co-occurrence matrix (3D, averaged)",Difference entropy,cm_diff_entr_3D_avg
87,"Co-occurrence matrix (3D, averaged)",Sum average,cm_sum_avg_3D_avg
88,"Co-occurrence matrix (3D, averaged)",Sum variance,cm_sum_var_3D_avg
89,"Co-occurrence matrix (3D, averaged)",Sum entropy,cm_sum_entr_3D_avg
90,"Co-occurrence matrix (3D, averaged)",Angular second moment,cm_energy_3D_avg
91,"Co-occurrence matrix (3D, averaged)",Contrast,cm_contrast_3D_avg
92,"Co-occurrence matrix (3D, averaged)",Dissimilarity,cm_dissimilarity_3D_avg
93,"Co-occurrence matrix (3D, averaged)",Inverse difference,cm_inv_diff_3D_avg
94,"Co-occurrence matrix (3D, averaged)",Inverse difference normalised,cm_inv_diff_norm_3D_avg
95,"Co-occurrence matrix (3D, averaged)",Inverse difference moment,cm_inv_diff_mom_3D_avg
96,"Co-occurrence matrix (3D, averaged)",Inverse difference moment normalised,cm_inv_diff_mom_norm_3D_avg
97,"Co-occurrence matrix (3D, averaged)",Inverse variance,cm_inv_var_3D_avg
98,"Co-occurrence matrix (3D, averaged)",Correlation,cm_corr_3D_avg
99,"Co-occurrence matrix (3D, averaged)",Autocorrelation,cm_auto_corr_3D_avg
100,"Co-occurrence matrix (3D, averaged)",Cluster tendency,cm_clust_tend_3D_avg
101,"Co-occurrence matrix (3D, averaged)",Cluster shade,cm_clust_shade_3D_avg
102,"Co-occurrence matrix (3D, averaged)",Cluster prominence,cm_clust_prom_3D_avg
103,"Co-occurrence matrix (3D, averaged)",Information correlation 1,cm_info_corr1_3D_avg
104,"Co-occurrence matrix (3D, averaged)",Information correlation 2,cm_info_corr2_3D_avg
105,"Co-occurrence matrix (3D, merged)",Joint maximum,cm_joint_max_3D_comb
106,"Co-occurrence matrix (3D, merged)",Joint average,cm_joint_avg_3D_comb
107,"Co-occurrence matrix (3D, merged)",Joint variance,cm_joint_var_3D_comb
108,"Co-occurrence matrix (3D, merged)",Joint entropy,cm_joint_entr_3D_comb
109,"Co-occurrence matrix (3D, merged)",Difference average,cm_diff_avg_3D_comb
110,"Co-occurrence matrix (3D, merged)",Difference variance,cm_diff_var_3D_comb
111,"Co-occurrence matrix (3D, merged)",Difference entropy,cm_diff_entr_3D_comb
112,"Co-occurrence matrix (3D, merged)",Sum average,cm_sum_avg_3D_comb
113,"Co-occurrence matrix (3D, merged)",Sum variance,cm_sum_var_3D_comb
114,"Co-occurrence matrix (3D, merged)",Sum entropy,cm_sum_entr_3D_comb
115,"Co-occurrence matrix (3D, merged)",Angular second moment,cm_energy_3D_comb
116,"Co-occurrence matrix (3D, merged)",Contrast,cm_contrast_3D_comb
117,"Co-occurrence matrix (3D, merged)",Dissimilarity,cm_dissimilarity_3D_comb
118,"Co-occurrence matrix (3D, merged)",Inverse difference,cm_inv_diff_3D_comb
119,"Co-occurrence matrix (3D, merged)",Inverse difference normalised,cm_inv_diff_norm_3D_comb
120,"Co-occurrence matrix (3D, merged)",Inverse difference moment,cm_inv_diff_mom_3D_comb
121,"Co-occurrence matrix (3D, merged)",Inverse difference moment normalised,cm_inv_diff_mom_norm_3D_comb
